temperature_liquid,co2,ph,fermentation_stage
27.07,1477,3.48,MATANG
26.27,400,6.46,BELUM_FERMENTASI
29.43,2229,4.14,FERMENTASI_AKTIF
30.92,2177,4.18,FERMENTASI_AKTIF
27.63,1651,5.04,FERMENTASI_AKTIF
31.28,971,5.07,FERMENTASI_AKTIF
28.35,1560,5.1,FERMENTASI_AKTIF
25.64,1437,3.66,FERMENTASI_LANJUT
25.75,677,6.7,BELUM_FERMENTASI
31.0,1210,4.38,FERMENTASI_AKTIF
28.2,843,6.59,BELUM_FERMENTASI
26.58,1725,4.33,FERMENTASI_AKTIF
26.68,2030,4.64,FERMENTASI_AKTIF
25.44,874,5.44,FERMENTASI_AWAL
27.11,478,6.31,BELUM_FERMENTASI
24.7,680,6.47,BELUM_FERMENTASI
28.62,877,6.01,FERMENTASI_AWAL
27.13,400,6.2,BELUM_FERMENTASI
26.08,2027,3.72,FERMENTASI_LANJUT
29.25,1238,3.53,MATANG
27.03,1361,5.99,FERMENTASI_AWAL
29.37,1722,4.01,FERMENTASI_LANJUT
28.29,1593,3.99,MATANG
25.58,1551,4.77,FERMENTASI_AKTIF
29.06,1143,3.68,MATANG
29.0,809,7.14,BELUM_FERMENTASI
28.6,1371,5.01,FERMENTASI_AKTIF
26.4,1043,4.48,FERMENTASI_AKTIF
28.05,991,5.58,FERMENTASI_AWAL
28.32,827,6.84,BELUM_FERMENTASI
30.27,674,5.91,FERMENTASI_AWAL
26.93,1457,4.28,FERMENTASI_AKTIF
30.15,1060,5.37,FERMENTASI_AWAL
27.24,1537,4.86,FERMENTASI_AKTIF
28.06,2081,4.26,FERMENTASI_AKTIF
27.54,907,5.01,FERMENTASI_AWAL
24.76,1395,4.2,FERMENTASI_LANJUT
28.33,1016,5.02,FERMENTASI_AKTIF
28.47,1006,4.01,FERMENTASI_AKTIF
29.53,815,6.13,BELUM_FERMENTASI
28.8,496,5.89,BELUM_FERMENTASI
28.94,1082,3.73,MATANG
26.69,625,6.93,BELUM_FERMENTASI
26.9,1238,6.03,FERMENTASI_AWAL
28.27,2656,3.6,FERMENTASI_LANJUT
28.6,976,5.38,FERMENTASI_AWAL
24.56,932,5.76,FERMENTASI_AWAL
30.24,1194,5.46,FERMENTASI_AWAL
28.37,664,6.37,BELUM_FERMENTASI
25.76,2107,3.98,FERMENTASI_LANJUT
30.53,1840,3.88,FERMENTASI_LANJUT
25.25,764,6.3,BELUM_FERMENTASI
26.99,1183,4.86,FERMENTASI_AKTIF
26.54,683,6.26,BELUM_FERMENTASI
30.99,1591,5.24,FERMENTASI_AKTIF
30.58,1259,4.01,FERMENTASI_LANJUT
28.15,1691,4.5,FERMENTASI_AKTIF
28.44,1503,4.14,FERMENTASI_LANJUT
30.12,1400,5.08,FERMENTASI_AKTIF
27.24,641,6.2,BELUM_FERMENTASI
27.13,1581,4.2,FERMENTASI_AKTIF
27.37,1103,6.03,FERMENTASI_AWAL
26.0,1508,3.6,FERMENTASI_LANJUT
25.51,1768,4.22,FERMENTASI_AKTIF
30.02,2069,3.36,MATANG
26.81,1984,3.62,FERMENTASI_LANJUT
27.42,1918,4.74,FERMENTASI_AKTIF
28.6,2739,3.76,FERMENTASI_LANJUT
24.27,744,6.21,BELUM_FERMENTASI
24.65,2109,5.32,FERMENTASI_AKTIF
28.1,1588,5.1,FERMENTASI_AKTIF
28.33,627,6.74,BELUM_FERMENTASI
27.94,1015,4.43,FERMENTASI_AKTIF
